ParcelMaster.parcelnumber,Parcels.current_taxable
06-150-0005-000,85285
06-150-0006-000,99314
06-150-0007-000,125700
06-150-0008-000,0
06-150-0009-000,0
06-150-0009-100,93555
06-150-0010-000,0
06-150-0011-000,110201
06-150-0012-000,113721
06-150-0013-000,128546
06-150-0014-000,129669
06-150-0015-000,116691
06-150-0015-100,88975
06-150-0016-000,0
06-150-0016-100,206101
06-150-0017-000,32800
06-150-0018-000,107012
06-150-0020-000,184246
06-150-0020-100,103329
06-150-0022-000,92998
06-150-0023-000,98516
06-150-0024-000,133800
06-150-0025-000,118009
06-150-0026-000,85509
06-150-0027-000,43277
06-150-0028-000,130900
06-150-0028-100,11683
06-150-0030-000,23140
06-150-0031-000,16076
06-150-0032-000,20095
06-150-0033-000,53010
06-150-0034-000,0
06-150-0035-000,23300
06-150-0036-000,18833
06-150-0037-000,99021
06-150-0038-000,60957
06-150-0039-000,7300
06-150-0040-000,97613
06-150-0043-000,56864
06-150-0044-000,35982
06-150-0045-000,44578
06-150-0046-000,49880
06-150-0047-000,0
06-150-0048-000,25208
06-150-0049-000,0
06-150-0050-000,0
06-150-0051-000,0
06-150-0051-100,0
06-150-0051-200,0
06-150-0051-300,0
06-150-0051-400,0
06-150-0051-500,0
06-150-0051-600,0
06-150-0051-610,8297467
06-150-0051-650,74900
06-150-0052-000,0
06-150-0053-000,0
06-151-0001-000,49392
06-151-0002-000,49448
06-151-0003-000,50356
06-151-0004-000,60600
06-151-0005-000,38895
06-151-0006-000,45162
06-151-0007-000,49324
06-151-0008-000,49080
06-151-0009-000,44551
06-151-0010-000,38064
06-151-0011-000,29199
06-151-0012-000,29741
06-151-0015-000,48224
06-151-0016-000,243717
06-151-0017-000,0
06-151-0021-000,0
06-151-0022-000,0
06-151-0023-000,0
06-151-0025-000,338513
06-151-0026-000,59508
06-151-0027-000,89657
06-151-0028-000,85455
06-151-0029-000,93485
06-151-0030-000,113612
06-151-0031-000,0
06-151-0032-000,154994
06-151-0033-000,84355
06-151-0034-000,91615
06-151-0035-000,3305
06-151-0036-000,18147
06-151-0037-000,98653
06-151-0038-000,10666
06-151-0039-000,158100
06-151-0040-000,0
06-151-0040-100,0
06-151-0042-000,32766
06-151-0043-000,30105
06-151-0044-000,25327
06-151-0045-000,36660
06-151-0045-100,25588
06-151-0046-000,29873
06-151-0047-000,17466
06-151-0048-000,25174
06-151-0053-000,0
06-151-0054-000,0
06-151-0054-100,26898
06-151-0055-000,0
06-151-0056-000,0
06-151-0057-000,0
06-151-0058-000,0
06-151-0058-100,0
06-151-0058-200,0
06-151-0058-300,0
06-151-0059-000,0
06-151-0059-100,9990
06-151-0059-200,6653
06-151-0060-000,16018
06-151-0064-000,15230
06-151-0065-000,2835
06-151-0066-000,0
